localTime,channel,episodeTitle,episodeStartTime,episodeDescription,trackTitle,artistString,gender,hosts
2025-10-29 07:38:31+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Jeg hader at jeg tænkte at du lignede en engel,Karoline Funder,,Camilla Jane Lea
2025-10-29 07:42:31+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Sympathy Magic,Florence + The Machine,other,Camilla Jane Lea
2025-10-29 07:46:23+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Breathe Me,Sia,female,Camilla Jane Lea
2025-10-29 07:50:44+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Lust For Life,Iggy Pop,male,Camilla Jane Lea
2025-10-29 07:55:32+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Better Way To Live,"KNEECAP, Grian Chatten",other,Camilla Jane Lea
2025-10-29 07:58:35+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Pink Moon,Nick Drake,male,Camilla Jane Lea
2025-10-29 08:05:05+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Friday I'm In Love,The Cure,other,Camilla Jane Lea
2025-10-29 08:09:55+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",this is my california,mary in the junkyard,other,Camilla Jane Lea
2025-10-29 08:15:10+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Bitter Sweet Symphony,The Verve,other,Camilla Jane Lea
2025-10-29 08:19:21+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Mr W4,Baxter Dury,male,Camilla Jane Lea
2025-10-29 08:24:04+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Bloom Baby Bloom,Wolf Alice,other,Camilla Jane Lea
2025-10-29 08:26:51+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",There Is A Light That Never Goes Out,The Smiths,other,Camilla Jane Lea
2025-10-29 08:30:45+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Nordvest altaner,Balstyrko,other,Camilla Jane Lea
2025-10-29 08:38:41+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Tiden flyver,Carl Emil Petersen,male,Camilla Jane Lea
